12
$
00:00:00 000 ABCDE
00:00:00 333 A
00:00:00 430 A
00:00:00 517 B 
00:00:00 685 C
00:00:00 784 A
00:00:00 869 B
00:00:01 046 C
00:00:01 389 D
00:00:01 474 A
00:00:01 566 A
00:00:01 724 A
00:00:01 829 B
00:00:01 922 B
00:00:02 084 C
00:00:02 424 A
00:00:02 608 B
00:00:02 775 C
00:00:03 126 AB
00:00:03 295 CD
00:00:03 479 AB
00:00:03 577 D
00:00:03 648 BC
00:00:03 829 A
00:00:04 175 B
00:00:04 525 CD
00:00:04 863 AB
00:00:05 215 AC
00:00:05 917 BD
00:00:06 005 A
00:00:06 093 A
00:00:06 269 B
00:00:06 357 CD
00:00:06 435 D
00:00:06 624 C
00:00:06 964 A
00:00:07 314 A
00:00:07 654 B
00:00:08 007 C
00:00:08 356 AB
00:00:08 706 CD
00:00:08 897 BC
00:00:09 058 A
00:00:09 227 C 
00:00:09 754 A
00:00:10 107 D
00:00:10 285 BC
00:00:10 461 A
00:00:10 631 B
00:00:10 979 A
00:00:11 149 CD
00:00:11 495 A
00:00:11 584 BC
00:00:11 679 B
00:00:11 847 C
00:00:11 938 AC
00:00:12 031 A
00:00:12 203 D
00:00:12 546 B
00:00:12 639 AC
00:00:12 732 CD
00:00:12 892 BD
00:00:12 981 A
00:00:13 079 B
00:00:13 249 C
00:00:13 595 D
00:00:13 770 CD
00:00:13 935 BC
00:00:14 285 AB
00:00:14 380 AB
00:00:14 476 CD
00:00:14 635 B
00:00:14 729 A
00:00:14 827 CD
00:00:14 992 A
00:00:15 335 C
00:00:15 683 A
00:00:16 033 D
00:00:16 383 B
00:00:17 073 C
00:00:17 164 AD
00:00:17 256 CD
00:00:17 423 BC
00:00:17 513 A
00:00:17 606 CD
00:00:17 781 A 
00:00:18 124 BC
00:00:18 474 CD
00:00:18 825 AB
00:00:19 175 CD
00:00:19 527 B
00:00:19 861 AD
00:00:20 057 CD
00:00:20 221 B
00:00:20 404 C
00:00:20 915 CD
00:00:21 267 AC
00:00:21 448 CD
00:00:21 619 AD
00:00:21 796 B
00:00:22 141 A
00:00:22 322 B
00:00:23 554 D
00:00:23 709 C
00:00:24 059 CD
00:00:24 410 A
00:00:24 759 D
00:00:25 280 B
00:00:25 983 CD
00:00:26 150 A
00:00:26 684 AB
00:00:26 850 CD
00:00:27 034 B
00:00:27 215 CD
00:00:27 574 A
00:00:27 728 A
00:00:27 901 C
00:00:28 068 B
00:00:29 122 D
00:00:29 291 B
00:00:29 640 C
00:00:29 995 A
00:00:30 341 BC
00:00:30 689 A
00:00:31 561 CD
00:00:31 733 B
00:00:31 911 AB
00:00:32 079 AB
00:00:32 429 AC
00:00:32 609 BD 
00:00:32 779 A
00:00:32 959 C
00:00:33 823 D 
00:00:33 996 CD
00:00:34 180 B
00:00:34 345 AD
00:00:34 536 AC
00:00:34 867 B 
00:00:34 963 C
00:00:35 043 BD
00:00:35 222 A
00:00:35 397 D
00:00:35 576 C
00:00:35 913 A
00:00:36 103 A
00:00:36 269 D
00:00:36 613 C
00:00:36 715 D
00:00:36 788 B
00:00:36 966 C
00:00:37 047 D
00:00:37 133 ABC
00:00:37 320 CD
00:00:37 657 AD
00:00:38 003 A
00:00:38 355 B
00:00:38 704 C
00:00:39 405 A
00:00:39 492 CD
00:00:39 587 AB
00:00:39 764 CD
00:00:39 845 A
00:00:39 929 B
00:00:40 112 CD
00:00:40 452 A
00:00:40 795 BC
00:00:41 144 AD
00:00:41 494 A
00:00:41 849 C
00:00:42 193 D
00:00:42 373 D
00:00:42 548 B
00:00:42 720 C
00:00:43 243 D
00:00:43 593 AD
00:00:43 772 DC
00:00:43 939 A
00:00:44 123 D
00:00:44 469 C
00:00:44 639 CD
00:00:44 819 BC
00:00:45 509 A
00:00:45 860 CD
00:00:46 038 AC
00:00:46 390 BC
00:00:46 910 A
00:00:47 084 C
00:00:47 260 D
00:00:47 431 B
00:00:47 607 DC
00:00:48 298 D
00:00:48 648 C
00:00:48 829 A
00:00:49 178 BC
00:00:49 701 AB
00:00:49 872 C
00:00:50 049 A
